performance_id,student_id,year,class_name,subject,total_score,teacher_id,family_id,total_attendance,score_range
87,1003,2023,SS2A,Civic Education,43,216,5003,135,40-49
88,1003,2023,SS2A,Literature-in-English,32,228,5003,148,30-39
89,1003,2023,SS2A,Government,65,231,5003,158,60-69
90,1003,2023,SS2A,History,40,234,5003,146,40-49
91,1004,2019,JS1A,Mathematics,81,204,5004,184,80-89
92,1004,2019,JS1A,English Language,35,201,5004,139,30-39
93,1004,2019,JS1A,Civic Education,55,216,5004,151,50-59
94,1004,2019,JS1A,Basic Science,41,207,5004,125,40-49
95,1004,2019,JS1A,Basic Technology,73,210,5004,182,70-79
96,1004,2019,JS1A,Social Studies,30,213,5004,120,30-39
97,1004,2020,JS2A,Mathematics,56,204,5004,155,50-59
98,1004,2020,JS2A,English Language,34,201,5004,125,30-39
99,1004,2020,JS2A,Civic Education,31,216,5004,121,30-39
100,1004,2020,JS2A,Basic Science,96,207,5004,181,90-100
101,1004,2020,JS2A,Basic Technology,30,210,5004,127,30-39
102,1004,2020,JS2A,Social Studies,32,213,5004,145,30-39
103,1004,2021,JS3A,Mathematics,80,204,5004,186,80-89
104,1004,2021,JS3A,English Language,38,201,5004,148,30-39
105,1004,2021,JS3A,Civic Education,35,216,5004,128,30-39
106,1004,2021,JS3A,Basic Science,38,207,5004,132,30-39
107,1004,2021,JS3A,Basic Technology,66,210,5004,164,60-69
108,1004,2021,JS3A,Social Studies,33,213,5004,131,30-39
109,1004,2022,SS1A,Mathematics,51,204,5004,162,50-59
110,1004,2022,SS1A,English Language,76,201,5004,195,70-79
111,1004,2022,SS1A,Civic Education,57,216,5004,155,50-59
112,1004,2022,SS1A,Literature-in-English,32,228,5004,122,30-39
113,1004,2022,SS1A,Government,62,231,5004,176,60-69
114,1004,2022,SS1A,History,77,234,5004,191,70-79
115,1004,2023,SS2A,Mathematics,32,204,5004,140,30-39
116,1004,2023,SS2A,English Language,41,201,5004,126,40-49
117,1004,2023,SS2A,Civic Education,51,216,5004,166,50-59
118,1004,2023,SS2A,Literature-in-English,43,228,5004,147,40-49
119,1004,2023,SS2A,Government,43,231,5004,150,40-49
120,1004,2023,SS2A,History,40,234,5004,120,40-49
121,1005,2019,JS1A,Mathematics,37,204,5005,141,30-39
122,1005,2019,JS1A,English Language,33,201,5005,129,30-39
123,1005,2019,JS1A,Civic Education,55,216,5005,169,50-59
124,1005,2019,JS1A,Basic Science,60,207,5005,161,60-69
125,1005,2019,JS1A,Basic Technology,32,210,5005,141,30-39
126,1005,2019,JS1A,Social Studies,80,213,5005,183,80-89
127,1005,2020,JS2A,Mathematics,57,204,5005,167,50-59
128,1005,2020,JS2A,English Language,50,201,5005,151,50-59
129,1005,2020,JS2A,Civic Education,71,216,5005,189,70-79
130,1005,2020,JS2A,Basic Science,31,207,5005,131,30-39
131,1005,2020,JS2A,Basic Technology,73,210,5005,200,70-79
132,1005,2020,JS2A,Social Studies,39,213,5005,146,30-39
133,1005,2021,JS3A,Mathematics,34,204,5005,135,30-39
134,1005,2021,JS3A,English Language,41,201,5005,148,40-49
135,1005,2021,JS3A,Civic Education,32,216,5005,121,30-39
136,1005,2021,JS3A,Basic Science,87,207,5005,187,80-89
137,1005,2021,JS3A,Basic Technology,47,210,5005,120,40-49
138,1005,2021,JS3A,Social Studies,33,213,5005,125,30-39
139,1005,2022,SS1A,Mathematics,61,204,5005,155,60-69
140,1005,2022,SS1A,English Language,39,201,5005,134,30-39
141,1005,2022,SS1A,Civic Education,85,216,5005,197,80-89
142,1005,2022,SS1A,Literature-in-English,45,228,5005,122,40-49
143,1005,2022,SS1A,Government,54,231,5005,155,50-59
144,1005,2022,SS1A,History,54,234,5005,171,50-59
145,1005,2023,SS2A,Mathematics,99,204,5005,185,90-100
146,1005,2023,SS2A,English Language,54,201,5005,173,50-59
147,1005,2023,SS2A,Civic Education,45,216,5005,127,40-49
148,1005,2023,SS2A,Literature-in-English,91,228,5005,185,90-100
149,1005,2023,SS2A,Government,30,231,5005,149,30-39
150,1005,2023,SS2A,History,38,234,5005,123,30-39
151,1006,2019,JS1A,Mathematics,36,204,5006,150,30-39
152,1006,2019,JS1A,English Language,30,201,5006,149,30-39
153,1006,2019,JS1A,Civic Education,49,216,5006,142,40-49
154,1006,2019,JS1A,Basic Science,42,207,5006,139,40-49
155,1006,2019,JS1A,Basic Technology,93,210,5006,191,90-100
156,1006,2019,JS1A,Social Studies,36,213,5006,150,30-39
157,1006,2020,JS2A,Mathematics,60,204,5006,165,60-69
158,1006,2020,JS2A,English Language,44,201,5006,144,40-49
159,1006,2020,JS2A,Civic Education,44,216,5006,140,40-49
160,1006,2020,JS2A,Basic Science,66,207,5006,157,60-69
161,1006,2020,JS2A,Basic Technology,38,210,5006,129,30-39
162,1006,2020,JS2A,Social Studies,32,213,5006,130,30-39
163,1006,2021,JS3A,Mathematics,55,204,5006,163,50-59
164,1006,2021,JS3A,English Language,91,201,5006,198,90-100
165,1006,2021,JS3A,Civic Education,35,216,5006,120,30-39
166,1006,2021,JS3A,Basic Science,94,207,5006,198,90-100
167,1006,2021,JS3A,Basic Technology,60,210,5006,179,60-69
168,1006,2021,JS3A,Social Studies,57,213,5006,154,50-59
169,1006,2022,SS1A,Mathematics,46,204,5006,123,40-49
170,1006,2022,SS1A,English Language,68,201,5006,154,60-69
171,1006,2022,SS1A,Civic Education,44,216,5006,132,40-49
172,1006,2022,SS1A,Literature-in-English,77,228,5006,180,70-79
173,1006,2022,SS1A,Government,40,231,5006,122,40-49
174,1006,2022,SS1A,History,40,234,5006,146,40-49
175,1006,2023,SS2A,Mathematics,56,204,5006,167,50-59
176,1006,2023,SS2A,English Language,40,201,5006,134,40-49
177,1006,2023,SS2A,Civic Education,41,216,5006,122,40-49
178,1006,2023,SS2A,Literature-in-English,33,228,5006,139,30-39
179,1006,2023,SS2A,Government,49,231,5006,136,40-49
180,1006,2023,SS2A,History,54,234,5006,159,50-59
181,1007,2019,JS1A,Mathematics,35,204,5007,129,30-39
182,1007,2019,JS1A,English Language,77,201,5007,190,70-79
183,1007,2019,JS1A,Civic Education,98,216,5007,190,90-100
184,1007,2019,JS1A,Basic Science,42,207,5007,137,40-49
185,1007,2019,JS1A,Basic Technology,54,210,5007,170,50-59
186,1007,2019,JS1A,Social Studies,38,213,5007,135,30-39
187,1007,2020,JS2A,Mathematics,55,204,5007,152,50-59
188,1007,2020,JS2A,English Language,40,201,5007,133,40-49
189,1007,2020,JS2A,Civic Education,38,216,5007,123,30-39
190,1007,2020,JS2A,Basic Science,57,207,5007,159,50-59
191,1007,2020,JS2A,Basic Technology,58,210,5007,160,50-59
192,1007,2020,JS2A,Social Studies,71,213,5007,195,70-79
193,1007,2021,JS3A,Mathematics,77,204,5007,185,70-79
194,1007,2021,JS3A,English Language,46,201,5007,127,40-49
195,1007,2021,JS3A,Civic Education,34,216,5007,127,30-39
196,1007,2021,JS3A,Basic Science,57,207,5007,155,50-59
197,1007,2021,JS3A,Basic Technology,36,210,5007,131,30-39
198,1007,2021,JS3A,Social Studies,48,213,5007,127,40-49
199,1007,2022,SS1A,Mathematics,75,204,5007,183,70-79
200,1007,2022,SS1A,English Language,53,201,5007,180,50-59
201,1007,2022,SS1A,Civic Education,58,216,5007,156,50-59
202,1007,2022,SS1A,Literature-in-English,35,228,5007,120,30-39
203,1007,2022,SS1A,Government,38,231,5007,125,30-39
204,1007,2022,SS1A,History,49,234,5007,126,40-49
205,1007,2023,SS2A,Mathematics,30,204,5007,128,30-39
206,1007,2023,SS2A,English Language,95,201,5007,186,90-100
207,1007,2023,SS2A,Civic Education,56,216,5007,170,50-59
208,1007,2023,SS2A,Literature-in-English,49,228,5007,150,40-49
209,1007,2023,SS2A,Government,52,231,5007,164,50-59
210,1007,2023,SS2A,History,55,234,5007,178,50-59
211,1008,2019,JS1A,Mathematics,32,204,5008,141,30-39
212,1008,2019,JS1A,English Language,37,201,5008,148,30-39
213,1008,2019,JS1A,Civic Education,59,216,5008,177,50-59
214,1008,2019,JS1A,Basic Science,91,207,5008,191,90-100
215,1008,2019,JS1A,Basic Technology,31,210,5008,139,30-39
216,1008,2019,JS1A,Social Studies,56,213,5008,155,50-59
217,1008,2020,JS2A,Mathematics,91,204,5008,198,90-100
218,1008,2020,JS2A,English Language,77,201,5008,191,70-79
219,1008,2020,JS2A,Civic Education,33,216,5008,138,30-39
220,1008,2020,JS2A,Basic Science,60,207,5008,152,60-69
221,1008,2020,JS2A,Basic Technology,69,210,5008,169,60-69
222,1008,2020,JS2A,Social Studies,49,213,5008,138,40-49
223,1008,2021,JS3A,Mathematics,36,204,5008,134,30-39
224,1008,2021,JS3A,English Language,74,201,5008,181,70-79
225,1008,2021,JS3A,Civic Education,50,216,5008,153,50-59
226,1008,2021,JS3A,Basic Science,54,207,5008,154,50-59
227,1008,2021,JS3A,Basic Technology,55,210,5008,175,50-59
228,1008,2021,JS3A,Social Studies,35,213,5008,130,30-39
229,1008,2022,SS1A,Mathematics,96,204,5008,199,90-100
230,1008,2022,SS1A,English Language,47,201,5008,138,40-49
231,1008,2022,SS1A,Civic Education,54,216,5008,163,50-59
232,1008,2022,SS1A,Literature-in-English,40,228,5008,125,40-49
233,1008,2022,SS1A,Government,46,231,5008,127,40-49
234,1008,2022,SS1A,History,57,234,5008,158,50-59
235,1008,2023,SS2A,Mathematics,52,204,5008,153,50-59
236,1008,2023,SS2A,English Language,34,201,5008,135,30-39
237,1008,2023,SS2A,Civic Education,37,216,5008,125,30-39
238,1008,2023,SS2A,Literature-in-English,39,228,5008,136,30-39
239,1008,2023,SS2A,Government,45,231,5008,124,40-49
240,1008,2023,SS2A,History,78,234,5008,199,70-79
241,1009,2019,JS1A,Mathematics,46,204,5009,141,40-49
242,1009,2019,JS1A,English Language,51,201,5009,180,50-59
243,1009,2019,JS1A,Civic Education,53,216,5009,167,50-59
244,1009,2019,JS1A,Basic Science,34,207,5009,148,30-39
245,1009,2019,JS1A,Basic Technology,81,210,5009,197,80-89
246,1009,2019,JS1A,Social Studies,89,213,5009,196,80-89
247,1009,2020,JS2A,Mathematics,52,204,5009,158,50-59
248,1009,2020,JS2A,English Language,89,201,5009,197,80-89
249,1009,2020,JS2A,Civic Education,34,216,5009,135,30-39
250,1009,2020,JS2A,Basic Science,40,207,5009,145,40-49
251,1009,2020,JS2A,Basic Technology,30,210,5009,146,30-39
252,1009,2020,JS2A,Social Studies,35,213,5009,150,30-39
253,1009,2021,JS3A,Mathematics,45,204,5009,135,40-49
254,1009,2021,JS3A,English Language,52,201,5009,169,50-59
255,1009,2021,JS3A,Civic Education,41,216,5009,126,40-49
256,1009,2021,JS3A,Basic Science,57,207,5009,164,50-59
257,1009,2021,JS3A,Basic Technology,54,210,5009,164,50-59
258,1009,2021,JS3A,Social Studies,52,213,5009,158,50-59
259,1009,2022,SS1A,Mathematics,55,204,5009,160,50-59
260,1009,2022,SS1A,English Language,40,201,5009,146,40-49
261,1009,2022,SS1A,Civic Education,56,216,5009,175,50-59
262,1009,2022,SS1A,Literature-in-English,49,228,5009,135,40-49
263,1009,2022,SS1A,Government,72,231,5009,186,70-79
264,1009,2022,SS1A,History,53,234,5009,171,50-59
265,1009,2023,SS2A,Mathematics,42,204,5009,127,40-49
266,1009,2023,SS2A,English Language,63,201,5009,156,60-69
267,1009,2023,SS2A,Civic Education,40,216,5009,133,40-49
268,1009,2023,SS2A,Literature-in-English,77,228,5009,183,70-79
269,1009,2023,SS2A,Government,61,231,5009,173,60-69
270,1009,2023,SS2A,History,33,234,5009,124,30-39
271,1010,2019,JS1A,Mathematics,36,204,5010,144,30-39
272,1010,2019,JS1A,English Language,43,201,5010,126,40-49
273,1010,2019,JS1A,Civic Education,38,216,5010,149,30-39
274,1010,2019,JS1A,Basic Science,85,207,5010,186,80-89
275,1010,2019,JS1A,Basic Technology,41,210,5010,124,40-49
276,1010,2019,JS1A,Social Studies,35,213,5010,140,30-39
277,1010,2020,JS2A,Mathematics,65,204,5010,150,60-69
278,1010,2020,JS2A,English Language,44,201,5010,147,40-49
279,1010,2020,JS2A,Civic Education,43,216,5010,128,40-49
280,1010,2020,JS2A,Basic Science,36,207,5010,145,30-39
281,1010,2020,JS2A,Basic Technology,56,210,5010,166,50-59
282,1010,2020,JS2A,Social Studies,70,213,5010,197,70-79
283,1010,2021,JS3A,Mathematics,49,204,5010,144,40-49
284,1010,2021,JS3A,English Language,60,201,5010,174,60-69
285,1010,2021,JS3A,Civic Education,53,216,5010,175,50-59
286,1010,2021,JS3A,Basic Science,58,207,5010,154,50-59
287,1010,2021,JS3A,Basic Technology,37,210,5010,133,30-39
288,1010,2021,JS3A,Social Studies,31,213,5010,144,30-39
289,1010,2022,SS1A,Mathematics,80,204,5010,194,80-89
290,1010,2022,SS1A,English Language,79,201,5010,182,70-79
291,1010,2022,SS1A,Civic Education,32,216,5010,148,30-39
292,1010,2022,SS1A,Literature-in-English,57,228,5010,176,50-59
293,1010,2022,SS1A,Government,75,231,5010,188,70-79
294,1010,2022,SS1A,History,31,234,5010,133,30-39
295,1010,2023,SS2A,Mathematics,38,204,5010,121,30-39
296,1010,2023,SS2A,English Language,50,201,5010,154,50-59
297,1010,2023,SS2A,Civic Education,50,216,5010,180,50-59
298,1010,2023,SS2A,Literature-in-English,36,228,5010,124,30-39
299,1010,2023,SS2A,Government,31,231,5010,131,30-39
300,1010,2023,SS2A,History,32,234,5010,123,30-39
301,1011,2019,JS1A,Mathematics,60,204,5011,176,60-69
302,1011,2019,JS1A,English Language,45,201,5011,136,40-49
303,1011,2019,JS1A,Civic Education,39,216,5011,145,30-39
304,1011,2019,JS1A,Basic Science,65,207,5011,153,60-69
305,1011,2019,JS1A,Basic Technology,42,210,5011,144,40-49
306,1011,2019,JS1A,Social Studies,57,213,5011,167,50-59
307,1011,2020,JS2A,Mathematics,47,204,5011,126,40-49
308,1011,2020,JS2A,English Language,52,201,5011,162,50-59
309,1011,2020,JS2A,Civic Education,38,216,5011,134,30-39
310,1011,2020,JS2A,Basic Science,61,207,5011,179,60-69
311,1011,2020,JS2A,Basic Technology,35,210,5011,145,30-39
312,1011,2020,JS2A,Social Studies,51,213,5011,165,50-59
313,1011,2021,JS3A,Mathematics,40,204,5011,147,40-49
314,1011,2021,JS3A,English Language,53,201,5011,151,50-59
315,1011,2021,JS3A,Civic Education,54,216,5011,164,50-59
316,1011,2021,JS3A,Basic Science,95,207,5011,183,90-100
317,1011,2021,JS3A,Basic Technology,54,210,5011,170,50-59
318,1011,2021,JS3A,Social Studies,53,213,5011,156,50-59
319,1011,2022,SS1A,Mathematics,40,204,5011,148,40-49
320,1011,2022,SS1A,English Language,31,201,5011,135,30-39
321,1011,2022,SS1A,Civic Education,58,216,5011,153,50-59
322,1011,2022,SS1A,Literature-in-English,32,228,5011,139,30-39
323,1011,2022,SS1A,Government,52,231,5011,171,50-59
324,1011,2022,SS1A,History,49,234,5011,126,40-49
325,1011,2023,SS2A,Mathematics,55,204,5011,179,50-59
326,1011,2023,SS2A,English Language,61,201,5011,159,60-69
327,1011,2023,SS2A,Civic Education,39,216,5011,148,30-39
328,1011,2023,SS2A,Literature-in-English,38,228,5011,132,30-39
329,1011,2023,SS2A,Government,45,231,5011,123,40-49
330,1011,2023,SS2A,History,45,234,5011,122,40-49
331,1012,2019,JS1A,Mathematics,58,204,5012,176,50-59
332,1012,2019,JS1A,English Language,40,201,5012,145,40-49
333,1012,2019,JS1A,Civic Education,45,216,5012,126,40-49
334,1012,2019,JS1A,Basic Science,42,207,5012,123,40-49
335,1012,2019,JS1A,Basic Technology,80,210,5012,181,80-89
336,1012,2019,JS1A,Social Studies,42,213,5012,142,40-49
337,1012,2020,JS2A,Mathematics,49,204,5012,130,40-49
338,1012,2020,JS2A,English Language,34,201,5012,148,30-39
339,1012,2020,JS2A,Civic Education,92,216,5012,189,90-100
340,1012,2020,JS2A,Basic Science,34,207,5012,148,30-39
341,1012,2020,JS2A,Basic Technology,44,210,5012,142,40-49
342,1012,2020,JS2A,Social Studies,37,213,5012,139,30-39
343,1012,2021,JS3A,Mathematics,98,204,5012,187,90-100
344,1012,2021,JS3A,English Language,65,201,5012,179,60-69
345,1012,2021,JS3A,Civic Education,37,216,5012,148,30-39
346,1012,2021,JS3A,Basic Science,93,207,5012,187,90-100
347,1012,2021,JS3A,Basic Technology,65,210,5012,153,60-69
348,1012,2021,JS3A,Social Studies,39,213,5012,138,30-39
349,1012,2022,SS1A,Mathematics,35,204,5012,128,30-39
350,1012,2022,SS1A,English Language,31,201,5012,148,30-39
351,1012,2022,SS1A,Civic Education,40,216,5012,131,40-49
352,1012,2022,SS1A,Literature-in-English,41,228,5012,126,40-49
353,1012,2022,SS1A,Government,89,231,5012,187,80-89
354,1012,2022,SS1A,History,30,234,5012,133,30-39
355,1012,2023,SS2A,Mathematics,42,204,5012,132,40-49
356,1012,2023,SS2A,English Language,48,201,5012,137,40-49
357,1012,2023,SS2A,Civic Education,31,216,5012,137,30-39
358,1012,2023,SS2A,Literature-in-English,96,228,5012,197,90-100
359,1012,2023,SS2A,Government,41,231,5012,145,40-49
360,1012,2023,SS2A,History,49,234,5012,130,40-49
361,1013,2019,JS1A,Mathematics,67,204,5013,164,60-69
362,1013,2019,JS1A,English Language,33,201,5013,130,30-39
363,1013,2019,JS1A,Civic Education,49,216,5013,131,40-49
364,1013,2019,JS1A,Basic Science,45,207,5013,144,40-49
365,1013,2019,JS1A,Basic Technology,48,210,5013,142,40-49
366,1013,2019,JS1A,Social Studies,53,213,5013,165,50-59
367,1013,2020,JS2A,Mathematics,50,204,5013,174,50-59
368,1013,2020,JS2A,English Language,45,201,5013,137,40-49
369,1013,2020,JS2A,Civic Education,50,216,5013,155,50-59
370,1013,2020,JS2A,Basic Science,32,207,5013,150,30-39
371,1013,2020,JS2A,Basic Technology,86,210,5013,183,80-89
372,1013,2020,JS2A,Social Studies,35,213,5013,146,30-39
373,1013,2021,JS3A,Mathematics,34,204,5013,134,30-39
374,1013,2021,JS3A,English Language,33,201,5013,135,30-39
375,1013,2021,JS3A,Civic Education,57,216,5013,174,50-59
376,1013,2021,JS3A,Basic Science,37,207,5013,125,30-39
377,1013,2021,JS3A,Basic Technology,31,210,5013,131,30-39
378,1013,2021,JS3A,Social Studies,46,213,5013,128,40-49
379,1013,2022,SS1A,Mathematics,37,204,5013,134,30-39
380,1013,2022,SS1A,English Language,46,201,5013,129,40-49
381,1013,2022,SS1A,Civic Education,36,216,5013,131,30-39
382,1013,2022,SS1A,Literature-in-English,35,228,5013,136,30-39
383,1013,2022,SS1A,Government,48,231,5013,131,40-49
384,1013,2022,SS1A,History,42,234,5013,136,40-49
385,1013,2023,SS2A,Mathematics,93,204,5013,200,90-100
386,1013,2023,SS2A,English Language,71,201,5013,188,70-79
387,1013,2023,SS2A,Civic Education,44,216,5013,131,40-49
388,1013,2023,SS2A,Literature-in-English,94,228,5013,186,90-100
389,1013,2023,SS2A,Government,57,231,5013,164,50-59
390,1013,2023,SS2A,History,44,234,5013,124,40-49
391,1014,2019,JS1A,Mathematics,61,204,5014,180,60-69
392,1014,2019,JS1A,English Language,56,201,5014,180,50-59
393,1014,2019,JS1A,Civic Education,39,216,5014,141,30-39
394,1014,2019,JS1A,Basic Science,35,207,5014,143,30-39
395,1014,2019,JS1A,Basic Technology,58,210,5014,160,50-59
396,1014,2019,JS1A,Social Studies,99,213,5014,181,90-100
397,1014,2020,JS2A,Mathematics,54,204,5014,179,50-59
398,1014,2020,JS2A,English Language,48,201,5014,148,40-49
399,1014,2020,JS2A,Civic Education,51,216,5014,170,50-59
400,1014,2020,JS2A,Basic Science,40,207,5014,134,40-49
401,1014,2020,JS2A,Basic Technology,55,210,5014,151,50-59
402,1014,2020,JS2A,Social Studies,44,213,5014,143,40-49
403,1014,2021,JS3A,Mathematics,35,204,5014,125,30-39
404,1014,2021,JS3A,English Language,41,201,5014,138,40-49
405,1014,2021,JS3A,Civic Education,43,216,5014,141,40-49
406,1014,2021,JS3A,Basic Science,30,207,5014,121,30-39
407,1014,2021,JS3A,Basic Technology,57,210,5014,154,50-59
408,1014,2021,JS3A,Social Studies,38,213,5014,130,30-39
409,1014,2022,SS1A,Mathematics,92,204,5014,194,90-100
410,1014,2022,SS1A,English Language,36,201,5014,149,30-39
411,1014,2022,SS1A,Civic Education,47,216,5014,145,40-49
412,1014,2022,SS1A,Literature-in-English,41,228,5014,126,40-49
413,1014,2022,SS1A,Government,48,231,5014,122,40-49
414,1014,2022,SS1A,History,87,234,5014,190,80-89
415,1014,2023,SS2A,Mathematics,52,204,5014,154,50-59
416,1014,2023,SS2A,English Language,48,201,5014,137,40-49
417,1014,2023,SS2A,Civic Education,40,216,5014,146,40-49
418,1014,2023,SS2A,Literature-in-English,33,228,5014,129,30-39
419,1014,2023,SS2A,Government,43,231,5014,123,40-49
420,1014,2023,SS2A,History,83,234,5014,190,80-89
421,1015,2019,JS1A,Mathematics,43,204,5015,121,40-49
422,1015,2019,JS1A,English Language,78,201,5015,185,70-79
423,1015,2019,JS1A,Civic Education,93,216,5015,199,90-100
424,1015,2019,JS1A,Basic Science,33,207,5015,134,30-39
425,1015,2019,JS1A,Basic Technology,56,210,5015,173,50-59
426,1015,2019,JS1A,Social Studies,79,213,5015,183,70-79
427,1015,2020,JS2A,Mathematics,54,204,5015,169,50-59
428,1015,2020,JS2A,English Language,48,201,5015,143,40-49
429,1015,2020,JS2A,Civic Education,35,216,5015,134,30-39
430,1015,2020,JS2A,Basic Science,39,207,5015,136,30-39
431,1015,2020,JS2A,Basic Technology,39,210,5015,144,30-39
432,1015,2020,JS2A,Social Studies,52,213,5015,169,50-59
433,1015,2021,JS3A,Mathematics,49,204,5015,138,40-49
434,1015,2021,JS3A,English Language,74,201,5015,191,70-79
435,1015,2021,JS3A,Civic Education,30,216,5015,150,30-39
436,1015,2021,JS3A,Basic Science,60,207,5015,161,60-69
437,1015,2021,JS3A,Basic Technology,33,210,5015,122,30-39
438,1015,2021,JS3A,Social Studies,93,213,5015,198,90-100
439,1015,2022,SS1A,Mathematics,43,204,5015,127,40-49
440,1015,2022,SS1A,English Language,57,201,5015,173,50-59
441,1015,2022,SS1A,Civic Education,35,216,5015,142,30-39
442,1015,2022,SS1A,Literature-in-English,30,228,5015,142,30-39
